num,execution,time,res
100,1,2.6400000000037505e-05,354224848179261915075
100,2,2.399999999996849e-05,354224848179261915075
100,3,3.0399999999985994e-05,354224848179261915075
100,4,2.140000000000475e-05,354224848179261915075
100,5,2.1300000000001873e-05,354224848179261915075
100,6,2.1500000000007624e-05,354224848179261915075
100,7,2.3300000000003873e-05,354224848179261915075
100,8,2.2000000000022002e-05,354224848179261915075
100,9,2.2800000000045006e-05,354224848179261915075
100,10,2.16000000000105e-05,354224848179261915075
